"bron_id","client_id","cnt_brons","rest_id"
211,395,4,33103
212,1895,4,16358
213,1979,2,19032
214,2812,3,10108
215,590,5,39297
216,792,3,11376
217,2800,3,6295
218,2976,2,36864
219,261,4,20309
220,4225,1,3433
221,4856,2,39258
222,11,4,40376
223,3668,2,37864
224,5780,5,1808
225,2345,2,18595
226,2752,1,4286
227,5121,3,5958
228,272,3,10369
229,3917,3,25873
230,2509,4,40895
231,1750,1,34017
232,2315,2,41569
233,294,4,30137
234,2334,4,5941
235,2332,2,7852
236,2445,5,11527
237,2777,1,46016
238,1634,4,12853
239,595,2,18719
240,3906,3,34310
241,841,5,28244
242,4887,4,6549
243,260,2,24380
244,5071,1,46292
245,4565,3,1886
246,2260,3,38101
247,320,3,19765
248,2599,4,15986
249,5000,1,38311
250,3117,4,43132
251,5205,3,40846
252,2773,1,23162
253,314,2,27266
254,4009,2,15971
255,3594,4,23106
256,1312,3,24297
257,5418,4,31537
258,190,1,30643
259,3927,2,42812
260,2956,4,28308
261,4929,5,11213
262,5787,5,31537
263,5534,2,15662
264,306,4,802
265,5268,1,12331
266,247,3,19347
267,2966,1,29018
268,4227,2,11673
269,81,4,29013
270,4863,1,12681
271,3565,4,2950
272,741,1,8183
273,1428,4,16682
274,4204,2,11740
275,1531,4,9449
276,321,4,34115
277,998,2,30636
278,679,5,2474
279,1186,5,21972
280,3583,1,29613
281,3775,3,1324
282,888,1,18616
283,762,2,20896
284,3424,2,11373
285,4586,3,39141
286,5601,4,42475
287,3932,3,3495
288,3236,4,11537
289,3044,3,6349
290,3430,3,1879
291,753,2,10830
292,1654,2,8479
293,5453,1,5520
294,3498,3,25302
295,2766,2,3685
296,3901,3,8644
297,31,2,21186
298,5450,2,34513
299,365,5,23119
300,5713,3,9417
301,1913,5,40312
302,986,1,7423
303,2924,5,41690
304,4512,2,28982
305,3938,1,5372
306,1552,3,11069
307,4057,3,24330
308,5474,1,20964
309,97,4,6568
310,1908,1,5877
311,267,1,1481
312,1127,5,20299
313,2374,2,36869
314,1244,2,43737
315,1773,4,1315
316,4253,5,38612
317,246,1,1541
318,423,5,5488
319,384,5,5356
320,5619,4,8516
321,2725,2,28263
322,2996,2,25492
323,642,5,30441
324,4687,2,12608
325,2057,2,20662
326,3135,4,12540
327,4351,3,13108
328,3832,1,40497
329,1082,3,9268
330,5304,3,41559
331,3325,3,15667
332,2253,2,8448
333,1816,3,41668
334,2763,3,18713
335,4442,1,16673
336,943,2,23106
337,874,3,8423
338,4964,2,13850
339,3933,3,11138
340,5129,5,29554
341,4680,2,15075
342,3416,3,23
343,1697,5,25960
344,2806,3,12213
345,2855,2,45877
346,792,3,20988
347,4421,2,43051
348,1513,3,28892
349,2631,5,12601
350,3333,3,26782
351,5574,4,1592
352,2470,2,7929
353,3786,5,13998
354,5096,5,32963
355,4846,3,14598
356,1899,3,3685
357,1600,1,886
358,1261,2,9123
359,3742,5,11448
360,1210,2,6453
361,4395,2,34812
362,5212,4,27870
363,1393,2,29881
364,1620,3,593
365,1109,4,19242
366,1801,1,34502
367,4722,5,34012
368,1763,1,13163
369,49,2,3796
370,3578,1,7229
371,3095,3,29010
372,3085,2,27911
373,1354,1,46288
374,2694,1,25958
375,2101,2,32511
376,1483,1,38826
377,1498,1,43024
378,1465,4,17534
379,3261,3,12481
380,1105,5,23791
381,3238,5,29076
382,3122,3,33519
383,2236,5,42648
384,3833,2,2202
385,3083,5,19033
386,2569,2,22829
387,4195,4,38310
388,5335,2,12965
389,1710,5,14081
390,2412,1,30912
391,1333,4,3686
392,2584,5,25969
393,2094,2,37144
394,3664,4,1803
395,1859,1,10618
396,3589,5,18599
397,265,4,46282
398,4752,2,19649
399,2358,1,28524
400,2792,2,5520
401,1168,4,36103
402,4780,1,3217
403,3425,1,20317
404,5607,3,12183
405,1325,4,15663
406,89,5,34339
407,4260,5,18520
408,4470,1,21147
409,939,1,25484
410,634,3,40171
411,3287,3,1904
412,2481,2,7972
413,1188,2,41469
414,2541,4,32015
415,2625,1,42687
416,92,2,37506
417,3606,5,13885
418,2766,2,6778
419,4709,2,9977
420,3516,4,36366
421,3284,1,41638
422,1573,1,39972
423,1234,4,10250
424,2352,1,37504
425,3877,3,16029
426,685,1,22036
427,2463,1,34026
428,3342,2,12982
429,2304,4,2032
430,2024,5,3685
431,2184,2,34017
432,3563,4,5721
433,1953,4,24697
434,2581,1,6431
435,3713,3,37489
436,145,3,3365
437,1933,2,27066
438,1081,2,12606
439,2452,2,7668
440,2554,4,24876
441,3698,3,11368
442,5749,3,7360
443,4609,5,38278
444,4772,5,19649
445,3566,3,38629
446,3592,5,6752
447,742,4,42782
448,3430,3,27006
449,1620,3,35225
450,2574,1,23337
451,4279,3,35046
452,1464,5,11612
453,778,3,25960
454,1353,5,1960
455,2634,1,10330
456,1340,1,5233
457,4026,5,34958
458,1375,4,29401
459,395,4,45562
460,4682,3,20964
461,4237,3,32514
462,355,2,38798
463,73,1,10553
464,3539,2,17540
465,2849,2,300
466,2659,3,4232
467,5594,3,21029
468,52,3,40450
469,1789,1,3158
470,288,1,2472
471,3819,3,14379
472,3160,3,30941
473,2387,5,3542
474,4085,2,45611
475,5728,5,44001
476,5363,5,6487
477,282,3,24742
478,346,2,38275
479,4658,1,4964
480,4841,5,26142
481,240,5,10097
482,4013,3,34113
483,4981,2,26142
484,61,5,46264
485,1373,2,13046
486,3644,3,19034
487,519,3,23691
488,4855,4,9997
489,1658,2,17431
490,4946,5,27382
491,5355,3,26495
492,3292,4,19681
493,4565,3,1467
494,1623,5,37855
495,5217,2,8448
496,4163,2,1161
497,150,2,20303
498,3557,4,21177
499,1651,2,13373
500,4727,5,807
501,3336,3,42788
502,1174,4,31466
503,4622,1,46288
504,4446,3,30441
505,3567,2,29401
506,5172,3,33089
507,3890,1,7389
508,4397,2,6820
509,4744,4,12331
510,5088,3,30138
511,5747,1,8012
512,4712,1,26142
513,437,5,11069
514,2541,4,42297
515,4089,4,19792
516,313,4,5340
517,178,3,14011
518,1062,5,42608
519,1771,2,5904
520,4286,4,11119
521,1214,4,7772
522,4124,3,42667
523,290,3,43189
524,4142,3,1401
525,5735,2,6233
526,5629,2,3686
527,837,5,3151
528,1151,2,19214
529,3494,4,1449
530,704,1,18915
531,2842,2,9358
532,1187,1,46257
533,2456,4,3525
534,1114,3,1139
535,1710,5,9405
536,537,5,13636
537,5461,3,26001
538,5468,2,2936
539,2675,3,22829
540,4544,3,6901
541,3721,3,4963
542,2326,2,43606
543,67,2,2206
544,3410,3,1323
545,1605,5,8423
546,5438,4,6752
547,4618,3,9123
548,4255,3,16674
549,2791,5,4238
550,3920,4,4867
551,2460,4,16675
552,2232,2,3017
553,3177,2,5341
554,837,5,24482
555,2992,3,33977
556,2736,5,2298
557,269,3,11376
558,1299,4,17916
559,4373,3,411
560,2054,3,1338
561,68,4,14240
562,426,2,9800
563,2627,3,15674
564,3840,5,38587
565,922,1,29872
566,3802,4,19242
567,2965,3,4134
568,4833,2,10741
569,7,2,19765
570,4062,1,15634
571,4409,5,41556
572,206,2,15642
573,3466,3,8046
574,2301,4,30841
575,3418,2,43190
576,1509,2,34249
577,5748,2,33102
578,889,3,5342
579,5144,2,13849
580,1053,3,29879
581,2329,5,12889
582,1475,4,22454
583,68,4,45588
584,3337,5,45526
585,679,5,42671
586,4150,1,45517
587,3276,4,26777
588,4114,2,41252
589,5431,2,29371
590,5386,3,30429
591,3848,1,29095
592,4655,2,42582
593,3275,5,24297
594,2706,1,16337
595,2791,5,14635
596,441,4,6996
597,5180,2,25339
598,2919,1,306
599,2836,1,17172
600,364,5,38342
601,2554,4,4144
602,4957,1,42463
603,4334,1,18263
604,5631,3,33727
605,3941,1,2016
606,3819,3,29152
607,1701,2,12284
608,3756,2,25283
609,4747,2,45981
610,5115,2,7106
611,1954,3,31330
612,1465,4,25482
613,1760,4,8185
614,1629,2,23690
615,516,1,4864
616,1244,2,15699
617,3096,4,18815
618,5050,5,9102
619,3791,5,23690
620,5136,3,11372
621,273,2,29527
622,2547,3,24154
623,2310,3,25269
624,3895,3,2480
625,1642,2,28770
626,1430,2,952
627,5266,2,2828
628,4089,4,21891
629,3646,1,14049
630,2023,1,1495
631,188,4,41893
632,4112,2,3827
633,3736,3,28263
634,4540,1,42781
635,5574,4,5343
636,1441,4,5720
637,4281,1,29300
638,5014,2,8437
639,437,5,34741
640,665,2,20317
641,3238,5,18865
642,4915,3,27706
643,4206,3,5293
644,1266,5,20247
645,2818,2,18595
646,3280,4,30281
647,3592,5,19013
648,2940,1,38183
649,2576,4,42771
650,651,3,792
651,400,2,19373
652,1451,5,25626
653,5187,5,13889
654,2580,3,5520
655,1682,4,7970
656,3512,2,1868
657,1126,5,15341
658,2419,2,34471
659,1127,5,34005
660,5428,5,1506
661,2211,4,13105
662,187,4,11330
663,768,4,39755
664,875,4,12863
665,1095,5,5522
666,5278,1,11901
667,2399,1,9829
668,1030,3,45304
669,5108,3,28770
670,1388,5,34462
671,1928,3,13371
672,1978,2,28608
673,5074,1,18713
674,3619,1,44463
675,632,4,11230
676,1590,5,7659
677,811,3,33182
678,1627,2,5021
679,3812,5,25263
680,1014,5,5155
681,3394,3,29018
682,601,1,25265
683,4925,4,17451
684,4543,2,43021
685,5160,3,32759
686,2288,5,38821
687,2193,3,14887
688,4829,3,23120
689,474,4,41996
690,960,1,7360
691,597,4,25264
692,5136,3,32174
693,3934,5,3198
694,2227,2,42703
695,3791,5,3685
696,2234,4,24297
697,5234,4,17156
698,364,5,45157
699,4933,5,5367
700,3838,3,10574
701,1186,5,6329
702,3059,3,3525
703,3392,1,1571
704,2501,4,43524
705,763,2,6618
706,3140,1,11748
707,5359,2,13625
708,3878,3,11357
709,4449,3,18319
710,2209,4,5875
711,5156,4,2208
712,1672,4,3008
713,5574,4,1909
714,756,3,36601
715,1105,5,3117
716,2108,2,8309
717,3897,4,38617
718,337,2,6452
719,4130,2,40966
720,896,2,45497
721,2751,2,5083
722,2255,2,25267
723,4772,5,29837
724,5751,2,20319
725,3381,5,3008
726,2776,4,28321
727,2510,1,8172
728,2755,2,24755
729,2441,5,15463
730,5002,5,34017
731,3123,2,4
732,1779,3,11626
733,324,4,22407
734,2925,2,783
735,1428,4,20312
736,4048,2,5356
737,5784,2,29519
738,3472,2,18826
739,1326,4,38226
740,5044,4,1881
741,5429,3,4964
742,3629,2,31789
743,2042,2,3008
744,3061,2,41474
745,1747,1,8904
746,115,1,23191
747,1232,1,12216
748,3043,3,11370
749,1580,1,40385
750,3408,4,11367
751,5706,1,29120
752,3226,2,35037
753,4735,3,30133
754,89,5,46371
755,3614,2,31130
756,803,2,26812
757,1157,3,2474
758,1342,2,7645
759,2378,3,12870
760,5190,2,13998
761,1172,2,14567
762,137,2,42800
763,4194,3,9521
764,5382,4,11270
765,3495,4,40034
766,3349,1,32759
767,1224,3,45537
768,828,1,19067
769,5237,3,19349
770,3564,3,38976
771,1034,4,24845
772,4341,2,17169
773,7,2,5164
774,955,2,9571
775,3448,5,36001
776,3394,3,45512
777,3438,3,19863
778,3569,2,38159
779,5668,1,22088
780,5597,1,16677
781,5510,2,38226
782,4932,1,10936
783,1427,1,31866
784,1030,3,1629
785,1605,5,41480
786,4435,2,6361
787,5232,3,18719
788,1343,3,11370
789,5476,3,6431
790,4030,2,3294
791,4636,5,32571
792,1066,2,22087
793,4889,2,5290
794,5584,3,15994
795,4084,3,5614
796,4123,2,28118
797,2654,3,6294
798,3251,2,1919
799,1895,4,37790
800,180,2,7703
801,3079,4,10144
802,2757,3,3700
803,459,4,32801
804,5382,4,2218
805,3593,2,36476
806,5226,5,5549
807,3567,2,19242
808,3274,1,26601
809,4338,2,34598
810,4578,4,35289
811,4331,2,43217
812,3895,3,27564
813,1417,3,35789
814,4821,3,973
815,1259,2,4138
816,3082,2,798
817,5114,3,20224
818,652,1,26400
819,4742,1,42412
820,5379,3,2044
821,3490,5,23119
822,5290,4,22088
823,1930,1,12601
824,3709,2,34966
825,689,1,3492
826,1360,2,12294
827,1077,2,21177
828,4279,3,36678
829,3616,4,34838
830,3304,5,45017
831,1560,5,29061
832,1586,3,32511
833,432,2,45527
834,2495,3,45263
835,1178,4,22455
836,5767,3,11747
837,4315,2,20308
838,4218,3,10552
839,1840,2,13367
840,2968,1,12
841,2717,3,14506
842,4002,1,11372
843,5779,3,39854
844,4883,1,7511
845,2389,2,10843
846,113,2,3294
847,386,2,6343
848,4741,1,6990
849,889,3,7328
850,2689,5,20311
851,1062,5,33730
852,4397,2,31453
853,5658,1,945
854,1906,3,23453
855,4264,2,6619
856,902,2,46030
857,830,1,13929
858,1543,1,4351
859,3620,3,12540
860,627,4,32017
861,2455,1,4138
862,4039,1,28623
863,4524,4,43179
864,5456,4,34846
865,179,4,688
866,1234,4,15802
867,324,4,45878
868,1999,1,13367
869,2152,3,30941
870,3524,3,24593
871,5289,3,7143
872,1623,5,20312
873,1684,2,9407
874,4766,3,5380
875,4655,2,15992
876,1473,3,34812
877,614,3,43105
878,1375,4,2473
879,3758,3,24612
880,3668,2,36857
881,2517,3,22274
882,4843,2,34249
883,3857,2,4965
884,1326,4,41465
885,1005,5,24611
886,1683,4,14957
887,4710,1,29016
888,783,2,1802
889,5116,1,39643
890,3418,2,20212
891,3005,2,33751
892,4524,4,27142
893,369,2,40449
894,3986,2,6881
895,2765,4,27309
896,317,3,12855
897,2517,3,42771
898,4826,3,6431
899,4819,4,29085
900,4329,2,41500
901,4174,3,38589
902,4423,2,35117
903,5182,3,35164
904,412,1,38311
905,4405,3,10559
906,1947,4,33575
907,2121,2,29523
908,2450,5,42465
909,3136,5,30642
910,554,2,16
911,1870,5,27674
912,721,3,38223
913,5557,3,33102
914,2388,5,33936
915,4089,4,4611
916,996,3,45598
917,1370,1,15699
918,5301,2,7739
919,2533,2,18881
920,5130,3,11219
921,47,4,4989
922,4108,2,33646
923,2357,2,38224
924,1895,4,36700
925,384,5,24615
926,461,4,5891
927,5050,5,1495
928,903,1,6808
929,898,3,11134
930,2253,2,9276
931,2126,1,4587
932,3676,1,3500
933,1914,2,42409
934,702,2,7761
935,1631,4,11372
936,2216,4,8541
937,573,2,34017
938,228,5,34026
939,2981,3,5897
940,2238,2,29005
941,2495,3,29511
942,5315,1,2473
943,4424,3,36859
944,4167,3,41500
945,3394,3,19765
946,2904,5,2016
947,2434,1,32506
948,4364,1,38232
949,4923,1,37191
950,644,5,38093
951,3315,3,25302
952,4453,2,12783
953,2055,4,29011
954,3340,2,27823
955,3553,2,13145
956,2671,2,8651
957,494,1,6730
958,1625,4,23691
959,1421,1,15010
960,68,4,29008
961,1825,5,11069
962,2593,2,5523
963,2748,2,12865
964,3255,4,17535
965,812,2,6386
966,323,4,8101
967,1953,4,19033
968,3773,3,4178
969,1105,5,40034
970,2289,4,29371
971,1436,2,1913
972,4731,5,27362
973,3160,3,8576
974,1446,3,35333
975,3871,3,15072
976,4976,5,1924
977,3215,5,25945
978,2695,1,36673
979,3855,2,40454
980,1748,3,43314
981,5391,5,25791
982,1685,4,42603
983,4336,2,2655
984,4113,2,22829
985,2866,3,1896
986,1397,2,35605
987,3246,2,13623
988,4965,1,17920
989,657,3,2815
990,2438,4,38866
991,4356,5,11606
992,2708,4,15662
993,1053,3,19083
994,4291,1,5356
995,5692,2,40674
996,5411,2,36601
997,4433,2,44363
998,5655,2,43147
999,2617,2,32085
1000,4529,4,17119
1001,776,3,34339
1002,5360,2,20267
1003,2439,1,21199
1004,420,3,9800
1005,3594,4,8051
1006,1500,2,12387
1007,1532,2,19675
1008,3648,3,41479
1009,3199,3,29606
1010,3795,1,29618
1011,4586,3,25376
1012,86,4,44209
1013,633,4,30136
1014,4090,2,1620
1015,1953,4,4611
1016,3371,1,19035
1017,734,2,35731
1018,3910,1,2480
1019,5435,1,16416
1020,1788,4,9575
1021,5096,5,23366
1022,4258,2,3117
1023,4121,3,17468
1024,766,4,43229
1025,1445,2,6730
1026,5151,4,13541
1027,3847,4,39755
1028,3929,4,15952
1029,4363,1,43322
1030,4122,1,3404
1031,5060,1,4962
1032,5118,3,11919
1033,5144,2,8904
1034,2683,3,19407
1035,323,4,12093
1036,4520,5,11408
1037,951,1,10289
1038,5383,1,30547
1039,3837,4,41419
1040,2016,2,33100
1041,3528,5,4091
1042,4004,2,24593
1043,2906,1,12875
1044,2527,4,46124
1045,5378,3,34598
1046,4857,1,11604
1047,3656,3,44741
1048,4114,2,27184
1049,5055,4,24336
1050,597,4,28482
1051,5,3,24829
1052,3047,1,23120
1053,768,4,28428
1054,684,2,2473
1055,1372,3,20280
1056,4081,4,34872
1057,5015,1,8656
1058,5681,5,19346
1059,2932,2,1879
1060,1590,5,15670
1061,823,5,35226
1062,4308,2,8904
1063,2066,2,20305
1064,2492,3,23162
1065,1895,4,17926
1066,3563,4,5754
1067,5193,1,38619
1068,3813,5,36625
1069,1333,4,16018
1070,974,2,9427
1071,3154,2,25633
1072,280,5,4137
1073,1466,2,29823
1074,1693,4,20964
1075,3971,2,8904
1076,4395,2,36346
1077,1938,3,24943
1078,3973,2,30314
1079,823,5,4964
1080,2886,4,18713
1081,3661,3,28882
1082,4021,4,28274
1083,400,2,3799
1084,2,1,4012
1085,1613,5,1749
1086,3205,4,12513
1087,315,4,306
1088,755,2,1808
1089,554,2,9407
1090,4951,2,25385
1091,2095,3,44233
1092,5443,2,32508
1093,2496,3,46269
1094,2410,3,38659
1095,1422,4,374
1096,3687,2,5652
1097,66,2,26142
1098,3356,2,36314
1099,1357,1,37204
1100,841,5,21958
1101,3485,2,22405
1102,447,1,38658
1103,514,5,1538
1104,749,2,33786
1105,3238,5,20314
1106,5337,5,25153
1107,461,4,38314
1108,2535,5,40330
1109,5299,1,42684
1110,4240,1,26067
1111,2145,1,2605
1112,3773,3,5582
1113,2421,4,3151
1114,4394,4,16843
1115,4855,4,30391
1116,3899,5,33936
1117,2124,2,1160
1118,3984,4,45367
1119,1845,2,2688
1120,2118,2,19033
1121,4826,3,22571
1122,22,2,4888
1123,5362,2,8516
1124,4915,3,15305
1125,2949,3,3525
1126,495,2,32300
1127,1906,3,17476
1128,5267,3,4611
1129,1601,3,863
1130,3929,4,9288
1131,5178,2,20310
1132,4776,5,4116
1133,2963,1,10581
1134,1795,2,13929
1135,4864,1,15662
1136,4534,3,1050
1137,1256,5,1197
1138,4242,2,707
1139,3328,3,41469
1140,18,4,22521
1141,3997,4,15976
1142,5022,2,45346
1143,1003,3,11014
1144,3233,2,37145
1145,918,1,10154
1146,462,2,1956
1147,754,2,41470
1148,419,4,18481
1149,1788,4,6996
1150,1446,3,42475
1151,1586,3,13135
1152,5328,2,34106
1153,3233,2,29497
1154,2192,4,4135
1155,2689,5,6921
1156,3896,1,29564
1157,1891,2,2473
1158,3252,3,45539
1159,3159,4,28889
1160,5172,3,22562
1161,5095,3,33519
1162,4111,3,6465
1163,4233,2,33195
1164,5604,2,17909
1165,2857,2,3905
1166,4069,1,11677
1167,5767,3,15346
1168,653,1,18943
1169,2209,4,11672
1170,2715,3,712
1171,1858,2,15664
1172,5527,4,41652
1173,1956,1,40151
1174,3034,2,43738
1175,5487,3,3647
1176,5161,2,29495
1177,1996,2,11779
1178,3640,2,1879
1179,3035,3,8417
1180,2349,3,1467
1181,1566,1,37210
1182,1856,1,11373
1183,3293,1,39934
1184,1035,4,8083
1185,2421,4,7970
1186,3456,2,32226
1187,1176,4,8393
1188,5048,2,23649
1189,2736,5,14385
1190,5601,4,25581
1191,5487,3,29525
1192,4475,1,41898
1193,3564,3,2475
1194,280,5,25268
1195,4292,1,16543
1196,1717,3,7703
1197,2317,1,45524
1198,4238,2,4137
1199,4013,3,4347
1200,4956,5,38159
1201,3837,4,11747
1202,154,4,34516
1203,27,2,25479
1204,258,5,44227
1205,5205,3,43351
1206,5376,4,19610
1207,1460,4,6506
1208,2627,3,17423
1209,18,4,18721
1210,110,1,40455
1211,1156,3,45416
1212,917,1,45564
1213,1779,3,14066
1214,743,2,14618
1215,5013,1,6346
1216,593,1,9495
1217,5509,1,15034
1218,1936,3,23346
1219,5497,3,1443
1220,2044,2,10556
1221,1360,2,4137
1222,1606,1,1550
1223,1325,4,19032
1224,1180,1,4639
1225,5325,5,31742
1226,4946,5,38279
1227,269,3,38582
1228,5322,2,4131
1229,958,2,23106
1230,5448,4,26142
1231,5290,4,13900
1232,1071,1,14618
1233,5576,3,29010
1234,5127,1,46291
1235,59,3,19884
1236,3444,3,35332
1237,2024,5,37505
1238,5129,5,45296
1239,4858,5,18504
1240,3247,2,24219
1241,153,5,17904
1242,1913,5,5603
1243,5695,2,4353
1244,4841,5,8543
1245,1812,3,41637
1246,145,3,46264
1247,3059,3,21316
1248,2064,4,11306
1249,235,4,35023
1250,2707,2,43313
1251,5672,2,39298
1252,1331,3,44746
1253,1499,4,44676
1254,5689,1,11924
1255,845,4,30449
1256,3117,4,4998
1257,2882,1,7085
1258,3557,4,37230
1259,275,2,886
1260,2942,2,14973
1261,4262,3,18881
1262,5428,5,29171
1263,5,3,10582
1264,3828,3,26496
1265,3512,2,39812
1266,4887,4,22068
1267,3385,5,3433
1268,1274,1,7988
1269,2749,5,4909
1270,2334,4,23453
1271,520,2,34038
1272,1499,4,14506
1273,2721,5,29611
1274,3671,1,2685
1275,3701,1,11377
1276,2641,3,10180
1277,2266,2,4386
1278,4971,3,35147
1279,1247,2,12540
1280,3094,1,17903
1281,5346,2,11219
1282,4550,1,1831
1283,812,2,11130
1284,1493,5,7444
1285,4635,2,32506
1286,4800,2,25305
1287,4829,3,30429
1288,864,5,17172
1289,835,5,23105
1290,1342,2,17915
1291,5681,5,7780
1292,4566,1,7972
1293,1140,1,20052
1294,293,5,24759
1295,3970,4,38312
1296,3664,4,947
1297,5692,2,19717
1298,1775,2,18717
1299,3498,3,2558
1300,4215,1,14679
1301,1166,4,40644
1302,1331,3,41662
1303,343,5,12007
1304,4616,2,44187
1305,2026,4,22961
1306,88,1,7751
1307,3840,5,20130
1308,3256,3,43130
1309,3107,3,35731
1310,2815,5,1979
1311,3560,4,29870
1312,3335,1,40644
1313,2547,3,41554
1314,2296,3,11370
1315,187,4,495
1316,4213,4,8019
1317,3143,1,19036
1318,4033,2,16683
1319,1951,4,24799
1320,3280,4,1323
1321,931,2,7009
1322,2686,1,42236
1323,4094,2,41668
1324,4810,4,20161
1325,1641,2,37211
1326,2639,2,45583
1327,5636,4,41308
1328,756,3,19711
1329,1951,4,43351
1330,1672,4,10982
1331,3899,5,16677
1332,637,1,7195
1333,1095,5,11129
1334,1971,5,18036
1335,5623,1,41465
1336,1855,1,29139
1337,2054,3,36537
1338,3933,3,42550
1339,132,1,43524
1340,1136,5,34737
1341,1521,3,4131
1342,4722,5,33936
1343,255,4,8437
1344,2908,5,25480
1345,632,4,23337
1346,343,5,25302
1347,3867,4,4006
1348,4934,2,34005
1349,4236,3,24423
1350,5674,3,21984
1351,1420,2,39854
1352,1059,1,8393
1353,3669,3,6549
1354,2877,3,142
1355,989,2,22486
1356,1054,3,39841
1357,3816,2,19717
1358,5349,3,28750
1359,5602,2,2351
1360,3330,1,37484
1361,3253,3,19610
1362,2085,3,13385
1363,254,3,29014
1364,2514,3,7962
1365,3445,3,23119
1366,2703,4,33405
1367,801,2,4131
1368,4227,2,5520
1369,3256,3,46201
1370,4727,5,20285
1371,2054,3,41465
1372,1178,4,6329
1373,3895,3,408
1374,90,3,23041
1375,3756,2,5750
1376,4657,1,19349
1377,893,1,5375
1378,3812,5,26514
1379,369,2,43527
1380,2471,5,1747
1381,2288,5,38619
1382,3386,5,8904
1383,5456,4,37485
1384,885,1,5929
